state,species_code,n_local
Alabama,norcar,160679
Alabama,carwre,125056
Alabama,normoc,118749
Alabama,moudov,117251
Alabama,blujay,114737
Alabama,rebwoo,98955
Alabama,carchi,98127
Alabama,tuftit,97841
Alabama,amecro,85081
Alabama,easblu,82162
Alabama,houfin,76363
Alabama,dowwoo,74182
Alabama,rewbla,60602
Alabama,grbher3,60150
Alabama,eastow,60139
Alabama,amerob,58253
Alabama,easpho,57560
Alabama,brnthr,55050
Alabama,turvul,49738
Alabama,yerwar,47580
Alabama,pinwar,47092
Alabama,chispa,42416
Alabama,whevir,38853
Alabama,amegfi,38560
Alabama,greegr,38406
Alabama,killde,37094
Alabama,eursta,35891
Alabama,rthhum,35588
Alabama,cangoo,34580
Alabama,comgra,34560
Alabama,whtspa,34496
Alabama,buggna,33720
Alabama,whbnut,32781
Alabama,bnhnut,32113
Alabama,bnhcow,32086
Alabama,laugul,30523
Alabama,fiscro,28441
Alabama,indbun,28253
Alabama,brnpel,27864
Alabama,osprey,26203
Alabama,barswa,26107
Alabama,reshaw,26096
Alabama,grcfly,25712
Alabama,sumtan,25188
Alabama,rethaw,24765
Alabama,houspa,24300
Alabama,belkin1,23846
Alabama,reevir1,23537
Alabama,pilwoo,23387
Alabama,sonspa,22829
Alabama,norfli,22417
Alabama,grycat,21030
Alabama,cedwax,19785
Alabama,chiswi,19777
Alabama,blkvul,19391
Alabama,mallar3,19371
Alabama,comyel,17977
Alabama,rehwoo,17550
Alabama,norpar,16962
Alabama,easkin,16906
Alabama,pibgre,16114
Alabama,royter1,16034
Alabama,eawpew,16019
Alabama,easmea,15784
Alabama,ribgul,15384
Alabama,baleag,15246
Alabama,blugrb1,15112
Alabama,yebsap,14611
Alabama,hoowar,14476
Alabama,purmar,14401
Alabama,palwar,14204
Alabama,daejun,12921
Alabama,yetvir,12899
Alabama,snoegr,12766
Alabama,eucdov,12718
Alabama,nrwswa,12543
Alabama,amekes,12417
Alabama,woothr,12340
Alabama,swaspa,12141
Alabama,y00475,11519
Alabama,gockin,11307
Alabama,rocpig,11001
Alabama,yebcuc,11001
Alabama,grnher,10848
Alabama,wooduc,10774
Alabama,houwre,10198
Alabama,coohaw,10154
Alabama,willet1,9547
Alabama,orcori,9465
Alabama,bawwar,9427
Alabama,forter,9300
Alabama,sander,9229
Alabama,robgro,9154
Alabama,logshr,9083
Alabama,savspa,8884
Alabama,caster1,8809
Alabama,hergul,8801
Alabama,categr1,8748
Alabama,treswa,8743
Alabama,fiespa,8568
Alabama,amwpel,8449
Alabama,herthr,8378
Alabama,libher,8102
Alabama,amered,7822
Alabama,scatan,7702
Alabama,purfin,7635
Alabama,prowar,7580
Alabama,yebcha,7563
Alabama,whwdov,7373
Alabama,botgra,7299
Alabama,gadwal,7138
Alabama,orcwar,7129
Alabama,yetwar,7126
Alabama,buwtea,7102
Alabama,tenwar,7061
Alabama,prawar,7039
Alabama,cliswa,6957
Alabama,brdowl,6820
Alabama,acafly,6672
Alabama,comloo,6652
Alabama,pinsis,6407
Alabama,buffle,6322
Alabama,rinduc,6300
Alabama,leasan,5916
Alabama,buhvir,5909
Alabama,bbwduc,5892
Alabama,norhar1,5817
Alabama,greyel,5741
Alabama,miskit,5689
Alabama,norsho,5489
Alabama,cogdov,5450
Alabama,brwhaw,5316
Alabama,balori,5262
Alabama,kenwar,5123
Alabama,magwar,5053
Alabama,anhing,4986
Alabama,santer1,4955
Alabama,bkbplo,4880
Alabama,whiibi,4818
Alabama,btnwar,4749
Alabama,leater1,4542
Alabama,sposan,4381
Alabama,clarai11,4313
Alabama,hoomer,4273
Alabama,nutman,4236
Alabama,wiltur,4213
Alabama,lessca,4199
Alabama,lesyel,4048
Alabama,winwre3,4013
Alabama,semplo,3840
Alabama,yelwar,3821
Alabama,swathr,3817
Alabama,louwat,3775
Alabama,woewar1,3692
Alabama,rudtur,3566
Alabama,bongul,3545
Alabama,norbob,3494
Alabama,wilsni1,3459
Alabama,commoo3,3450
Alabama,dunlin,3397
Alabama,grhowl,3378
Alabama,chswar,3243
Alabama,blkski,3231
Alabama,gnwtea,3226
Alabama,rebnut,3054
Alabama,rudduc,3023
Alabama,paibun,2969
Alabama,rebmer,2952
Alabama,solsan,2939
Alabama,musduc,2902
Alabama,triher,2760
Alabama,shbdow,2715
Alabama,comnig,2650
Alabama,swawar,2579
Alabama,semsan,2578
Alabama,marwre,2539
Alabama,redegr,2454
Alabama,dickci,2445
Alabama,brncre,2445
Alabama,ovenbi1,2432
Alabama,pecsan,2421
Alabama,redhea,2293
Alabama,horgre,2267
Alabama,buwwar,2247
Alabama,amewig,2205
Alabama,amepip,2176
Alabama,ycnher,2119
Alabama,gubter2,2089
Alabama,norwat,2085
Alabama,babwar,2078
Alabama,shshaw,1975
Alabama,bcnher,1967
Alabama,snogoo,1912
Alabama,gwfgoo,1905
Alabama,bkbwar,1854
Alabama,swtkit,1825
Alabama,wessan,1773
Alabama,whcspa,1756
Alabama,veery,1747
Alabama,rusbla,1729
Alabama,pipplo,1702
Alabama,chwwid,1606
Alabama,gycthr,1604
Alabama,perfal,1576
Alabama,merlin,1530
Alabama,ameoys,1518
Alabama,comgol,1512
Alabama,rufhum,1469
Alabama,norpin,1452
Alabama,bkpwar,1449
Alabama,sora,1429
Alabama,whocra,1398
Alabama,woosto,1372
