species_code,n_records,percentile,last_sync
reushe1,0,0.0000,2025-04-27T17:52:55.782Z
maushe1,0,0.0091,2025-04-27T17:52:55.782Z
creshe1,0,0.0183,2025-04-27T17:52:55.782Z
finduc1,0,0.0274,2025-04-27T17:52:55.782Z
amsduc1,0,0.0365,2025-04-27T17:52:55.782Z
pihduc1,0,0.0457,2025-04-27T17:52:55.782Z
mauduc1,0,0.0548,2025-04-27T17:52:55.782Z
auimer1,0,0.0639,2025-04-27T17:52:55.782Z
niuscr1,0,0.0731,2025-04-27T17:52:55.782Z
horcur2,0,0.0822,2025-04-27T17:52:55.782Z
lobpar2,0,0.0913,2025-04-27T17:52:55.782Z
mabqua1,0,0.1005,2025-04-27T17:52:55.782Z
nezqua1,0,0.1096,2025-04-27T17:52:55.782Z
himqua1,0,0.1188,2025-04-27T17:52:55.782Z
atigre1,0,0.1279,2025-04-27T17:52:55.782Z
alagre1,0,0.1370,2025-04-27T17:52:55.782Z
mauwop1,0,0.1462,2025-04-27T17:52:55.782Z
colgre1,0,0.1553,2025-04-27T17:52:55.782Z
bonpig1,0,0.1644,2025-04-27T17:52:55.782Z
ryupig1,0,0.1736,2025-04-27T17:52:55.782Z
paspig,0,0.1827,2025-04-27T17:52:55.782Z
mautud1,0,0.1918,2025-04-27T17:52:55.782Z
rodtud1,0,0.2010,2025-04-27T17:52:55.782Z
tangrd1,0,0.2101,2025-04-27T17:52:55.782Z
norgrd1,0,0.2192,2025-04-27T17:52:55.782Z
tbgdov1,0,0.2284,2025-04-27T17:52:55.782Z
spgpig1,0,0.2375,2025-04-27T17:52:55.782Z
mibhea2,0,0.2466,2025-04-27T17:52:55.782Z
rodsol2,0,0.2558,2025-04-27T17:52:55.782Z
chopig1,0,0.2649,2025-04-27T17:52:55.782Z
subhea1,0,0.2740,2025-04-27T17:52:55.782Z
soucrp2,0,0.2832,2025-04-27T17:52:55.782Z
rmfdov1,0,0.2923,2025-04-27T17:52:55.782Z
rodblp1,0,0.3015,2025-04-27T17:52:55.782Z
nefdov1,0,0.3106,2025-04-27T17:52:55.782Z
mabpig2,0,0.3197,2025-04-27T17:52:55.782Z
snecou1,0,0.3289,2025-04-27T17:52:55.782Z
sthcuc1,0,0.3380,2025-04-27T17:52:55.782Z
necnig2,0,0.3471,2025-04-27T17:52:55.782Z
caynig1,0,0.3563,2025-04-27T17:52:55.782Z
jampau,0,0.3654,2025-04-27T17:52:55.782Z
nconig1,0,0.3745,2025-04-27T17:52:55.782Z
necnig1,0,0.3837,2025-04-27T17:52:55.782Z
astswi1,0,0.3928,2025-04-27T17:52:55.782Z
balswi1,0,0.4019,2025-04-27T17:52:55.782Z
whiswi1,0,0.4111,2025-04-27T17:52:55.782Z
mayswi1,0,0.4202,2025-04-27T17:52:55.782Z
papswi1,0,0.4293,2025-04-27T17:52:55.782Z
coptho2,0,0.4385,2025-04-27T17:52:55.782Z
gorpuf1,0,0.4476,2025-04-27T17:52:55.782Z
scthum1,0,0.4567,2025-04-27T17:52:55.782Z
